protein_xref_1	protein_xref_2	alternative_identifiers_1	alternative_identifiers_2	protein_alias_1	protein_alias_2	detection_method	author_name	pmid	protein_taxid_1	protein_taxid_2	interaction_type	source_database_id	database_identifier	confidence
entrez gene/locuslink:257397	entrez gene/locuslink:887373	biogrid:129216|entrez gene/locuslink:TAB3	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:MAP3K7IP3(gene name synonym)|entrez gene/locuslink:NAP1(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0096(pull down)	Wang J (2015)	pubmed:25642820	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418237	-
entrez gene/locuslink:257397	entrez gene/locuslink:887373	biogrid:129216|entrez gene/locuslink:TAB3	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:MAP3K7IP3(gene name synonym)|entrez gene/locuslink:NAP1(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wang J (2015)	pubmed:25642820	9606	83332	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1418235	-
entrez gene/locuslink:7097	entrez gene/locuslink:885362	biogrid:112952|entrez gene/locuslink:TLR2	biogrid:4354862|entrez gene/locuslink:PPE34|entrez gene/locuslink:Rv1917c	entrez gene/locuslink:CD282(gene name synonym)|entrez gene/locuslink:TIL4(gene name synonym)	-	psi-mi:MI:0096(pull down)	Bansal K (2010)	pubmed:20837474	9606	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1527992	-
uniprotkb:O60603	uniprotkb:P9WIG7	intact:EBI-973722|uniprotkb:O15454|uniprotkb:Q8NI00|uniprotkb:B3Y612|uniprotkb:D1CS45|uniprotkb:D1CS48|uniprotkb:D1CS49	intact:EBI-9086211|uniprotkb:L0TGV1|uniprotkb:Q8VIR8|uniprotkb:Q79F93	psi-mi:tlr2_human(display_long)|uniprotkb:Toll/interleukin-1 receptor-like protein 4(gene name synonym)|uniprotkb:TLR2(gene name)|psi-mi:TLR2(display_short)|uniprotkb:TIL4(gene name synonym)	psi-mi:pe35_myctu(display_long)|uniprotkb:PE35(gene name)|psi-mi:PE35(display_short)|uniprotkb:Rv3872(locus name)	psi-mi:MI:0006(anti bait coimmunoprecipitation)	Tiwari et al. (2014)	pubmed:24467650|imex:IM-22080	9606	83332	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-9086396|imex:IM-22080-5	intact-miscore:0.40
uniprotkb:O60603	uniprotkb:P9WHW9	intact:EBI-973722|uniprotkb:O15454|uniprotkb:Q8NI00|uniprotkb:B3Y612|uniprotkb:D1CS45|uniprotkb:D1CS48|uniprotkb:D1CS49	intact:EBI-9086224|uniprotkb:L0TFI2|uniprotkb:Q7D4P4|uniprotkb:Q79F92	psi-mi:tlr2_human(display_long)|uniprotkb:Toll/interleukin-1 receptor-like protein 4(gene name synonym)|uniprotkb:TLR2(gene name)|psi-mi:TLR2(display_short)|uniprotkb:TIL4(gene name synonym)	psi-mi:ppe68_myctu(display_long)|uniprotkb:PPE68(gene name)|psi-mi:PPE68(display_short)|uniprotkb:Rv3873(locus name)	psi-mi:MI:0006(anti bait coimmunoprecipitation)	Tiwari et al. (2014)	pubmed:24467650|imex:IM-22080	9606	83332	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-9086355|imex:IM-22080-4	intact-miscore:0.40
entrez gene/locuslink:1432	entrez gene/locuslink:887373	biogrid:107819|entrez gene/locuslink:MAPK14|entrez gene/locuslink:RP1-179N16.5	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:CSBP(gene name synonym)|entrez gene/locuslink:CSBP1(gene name synonym)|entrez gene/locuslink:CSBP2(gene name synonym)|entrez gene/locuslink:CSPB1(gene name synonym)|entrez gene/locuslink:EXIP(gene name synonym)|entrez gene/locuslink:Mxi2(gene name synonym)|entrez gene/locuslink:PRKM14(gene name synonym)|entrez gene/locuslink:PRKM15(gene name synonym)|entrez gene/locuslink:RK(gene name synonym)|entrez gene/locuslink:SAPK2A(gene name synonym)|entrez gene/locuslink:p38(gene name synonym)|entrez gene/locuslink:p38ALPHA(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0004(affinity chromatography technology)	Wang J (2015)	pubmed:25642820	9606	83332	psi-mi:MI:0915(physical association)	psi-mi:MI:0463(biogrid)	biogrid:1418239	-
entrez gene/locuslink:22190	entrez gene/locuslink:887373	biogrid:204403|entrez gene/locuslink:Ubc	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:2700054O04Rik(gene name synonym)|entrez gene/locuslink:AI194771(gene name synonym)|entrez gene/locuslink:Rps27a(gene name synonym)|entrez gene/locuslink:TI-225(gene name synonym)|entrez gene/locuslink:Uba52(gene name synonym)|entrez gene/locuslink:Ubb(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0018(two hybrid)	Wang J (2015)	pubmed:25642820	10090	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418231	-
entrez gene/locuslink:26416	entrez gene/locuslink:887373	biogrid:204969|entrez gene/locuslink:Mapk14|entrez gene/locuslink:RP24-137E7.1	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:CSBP2(gene name synonym)|entrez gene/locuslink:Crk1(gene name synonym)|entrez gene/locuslink:Csbp1(gene name synonym)|entrez gene/locuslink:Mxi2(gene name synonym)|entrez gene/locuslink:PRKM14(gene name synonym)|entrez gene/locuslink:PRKM15(gene name synonym)|entrez gene/locuslink:p38(gene name synonym)|entrez gene/locuslink:p38-alpha(gene name synonym)|entrez gene/locuslink:p38MAPK(gene name synonym)|entrez gene/locuslink:p38a(gene name synonym)|entrez gene/locuslink:p38alpha(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0415(enzymatic study)	Wang J (2015)	pubmed:25642820	10090	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418232	-
entrez gene/locuslink:26419	entrez gene/locuslink:887373	biogrid:204971|entrez gene/locuslink:Mapk8	biogrid:4356823|entrez gene/locuslink:ptpA|entrez gene/locuslink:Rv2234	entrez gene/locuslink:AI849689(gene name synonym)|entrez gene/locuslink:JNK(gene name synonym)|entrez gene/locuslink:JNK1(gene name synonym)|entrez gene/locuslink:Prkm8(gene name synonym)|entrez gene/locuslink:SAPK1(gene name synonym)	entrez gene/locuslink:MPtpA(gene name synonym)	psi-mi:MI:0415(enzymatic study)	Wang J (2015)	pubmed:25642820	10090	83332	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0463(biogrid)	biogrid:1418233	-
uniprotkb:P10145	uniprotkb:P9WNX3	intact:EBI-3917999|uniprotkb:Q9UCS0|uniprotkb:Q9UCR8|uniprotkb:Q9C077|uniprotkb:Q6FGF6|uniprotkb:Q96RG6|uniprotkb:B2R4L8|uniprotkb:Q9UCE1|uniprotkb:Q9UCR9|uniprotkb:Q6LAE6	intact:EBI-11740502|uniprotkb:L0TBH1|uniprotkb:O53243|uniprotkb:P0A544	psi-mi:il8_human(display_long)|uniprotkb:Protein 3-10C(gene name synonym)|uniprotkb:T-cell chemotactic factor(gene name synonym)|uniprotkb:CXCL8(gene name)|psi-mi:CXCL8(display_short)|uniprotkb:C-X-C motif chemokine 8(gene name synonym)|uniprotkb:Chemokine (C-X-C motif) ligand 8(gene name synonym)|uniprotkb:Emoctakin(gene name synonym)|uniprotkb:Granulocyte chemotactic protein 1(gene name synonym)|uniprotkb:IL8(gene name synonym)|uniprotkb:Monocyte-derived neutrophil chemotactic factor(gene name synonym)|uniprotkb:Monocyte-derived neutrophil-activating peptide(gene name synonym)|uniprotkb:Neutrophil-activating protein 1(gene name synonym)	psi-mi:sera_myctu(display_long)|uniprotkb:serA(gene name)|psi-mi:serA(display_short)|uniprotkb:2-oxoglutarate reductase(gene name synonym)|uniprotkb:MTV012.10(orf name)|uniprotkb:Rv2996c(locus name)	psi-mi:MI:0004(affinity chromatography technology)	Dziadek et al. (2015)	pubmed:26829648|imex:IM-26081	9606	83332	psi-mi:MI:0914(association)	psi-mi:MI:1335(HPIDb)	intact:EBI-11740465|imex:IM-26081-1	intact-miscore:0.35
